time,high,last,timestamp,bid,vwap,volume,low,ask,open,time
2021-12-15 19:37:00,49310.26,48317.46,1639597025,48324.14,47822.36,2489.51577765,46560.0,48351.7,48386.95,2021-12-15 19:37:05
2021-12-15 19:37:20,49310.26,48562.39,1639597044,48519.42,47824.58,2497.12978873,46560.0,48560.8,48386.95,2021-12-15 19:37:24
2021-12-15 19:37:40,49310.26,48558.23,1639597066,48545.85,47825.17,2498.93611374,46560.0,48558.23,48386.95,2021-12-15 19:37:46
2021-12-15 19:38:00,49310.26,48601.0,1639597087,48588.5,47826.2,2502.24548094,46560.0,48622.6,48386.95,2021-12-15 19:38:07
2021-12-15 19:38:20,49310.26,48618.1,1639597110,48560.8,47827.64,2506.68374856,46560.0,48608.09,48386.95,2021-12-15 19:38:30
2021-12-15 19:38:40,49310.26,48608.5,1639597129,48611.1,47827.82,2507.23318412,46560.0,48644.29,48386.95,2021-12-15 19:38:49
2021-12-15 19:39:00,49310.26,48608.5,1639597140,48584.81,47827.82,2507.23318412,46560.0,48613.06,48386.95,2021-12-15 19:39:00
2021-12-15 19:39:20,49310.26,48561.79,1639597171,48543.22,47828.1,2508.17484779,46560.0,48578.38,48386.95,2021-12-15 19:39:31
2021-12-15 19:39:40,49310.26,48582.96,1639597190,48543.42,47828.18,2508.44330314,46560.0,48588.89,48386.95,2021-12-15 19:39:50
2021-12-15 19:40:00,49310.26,48532.88,1639597201,48481.91,47828.24,2508.5232502,46560.0,48527.17,48386.95,2021-12-15 19:40:01
2021-12-15 19:40:20,49310.26,48415.96,1639597221,48400.0,47828.3,2508.77495814,46560.0,48423.35,48386.95,2021-12-15 19:40:21
2021-12-15 19:40:40,49310.26,48505.44,1639597243,48503.58,47828.44,2509.24722299,46560.0,48541.88,48386.95,2021-12-15 19:40:43
2021-12-15 19:41:00,49310.26,48652.06,1639597266,48620.2,47828.46,2509.31182088,46560.0,48652.06,48386.95,2021-12-15 19:41:06
2021-12-15 19:41:20,49310.26,48656.19,1639597285,48624.5,47828.5,2509.43367719,46560.0,48654.1,48386.95,2021-12-15 19:41:25
2021-12-15 19:41:40,49310.26,48748.76,1639597308,48746.78,47832.94,2522.16591815,46560.0,48771.78,48386.95,2021-12-15 19:41:48
2021-12-15 19:42:00,49310.26,48690.92,1639597327,48705.23,47833.34,2523.27657737,46560.0,48754.93,48386.95,2021-12-15 19:42:07
2021-12-15 19:42:20,49310.26,48834.0,1639597350,48822.86,47834.88,2527.17392014,46560.0,48834.0,48386.95,2021-12-15 19:42:30
2021-12-15 19:42:40,49310.26,48904.55,1639597369,48904.55,47837.52,2533.60155903,46560.0,48921.64,48386.95,2021-12-15 19:42:49
2021-12-15 19:43:00,49310.26,48854.25,1639597381,48854.46,47837.97,2534.65078634,46560.0,48875.35,48386.95,2021-12-15 19:43:01
2021-12-15 19:43:20,49310.26,48702.79,1639597400,48687.99,47842.37,2526.11638594,46560.0,48734.0,48386.95,2021-12-15 19:43:20
2021-12-15 19:43:40,49310.26,48694.94,1639597423,48674.72,47842.48,2526.42361113,46560.0,48702.88,48386.95,2021-12-15 19:43:43
2021-12-15 19:44:00,49310.26,48631.8,1639597442,48642.89,47843.12,2527.94603318,46560.0,48675.86,48386.95,2021-12-15 19:44:02
2021-12-15 19:44:20,49310.26,48594.29,1639597464,48592.1,47843.37,2528.70449275,46560.0,48597.88,48386.95,2021-12-15 19:44:24
